Date,Business,Ltd,Trade,Town,Website,Profile weakness observed,Email address,Status,Reply notes,Flagged to Nicholas
2026-08-03,Pro Strokes Ltd,Y,Painter & Decorator,Guiseley/Leeds,prostrokes.co.uk,Needs GBP audit,info@prostrokes.co.uk,Draft,,
2026-08-03,Martin Day Electricians Limited,Y,Electrician,Leeds/Bradford,martindayelectrician.co.uk,Needs GBP audit,info@martindayelectrician.co.uk,Draft,,
2026-08-03,T P Harris Plumbing and Heating Limited,Y,Plumber/Heating,Yeadon/Leeds,harrisheating.co.uk,Needs GBP audit,info@harrisheating.co.uk,Draft,,
2026-08-03,Bee Quality Services UK Ltd,Y,Cleaning,Leicester,beequalityservices.co.uk,Needs GBP audit,info@beequalityservices.co.uk,Draft,,
2026-08-03,The Hampton Clinic Ltd,Y,Aesthetics Clinic,Clifton/Bristol,thehamptonclinic.co.uk,Needs GBP audit,enquiries@thehamptonclinic.co.uk,Draft,,
2026-08-03,Rooftech Cardiff Ltd,Y,Roofing,Cardiff,rooftechcardiffltd.co.uk,Needs GBP audit,enquiries@rooftechcardiffltd.co.uk,Draft,,
2026-08-03,Tyneside Electrical Services Ltd,Y,Electrician,Newcastle/Gateshead,tynesideelectrical.co.uk,Needs GBP audit,contact@tynesideelectrical.co.uk,Draft,,
2026-08-03,Wessex Gardeners Ltd,Y,Landscaping,Southampton,wessexgardeners.co.uk,Needs GBP audit,wessexgardeners@btconnect.com,Draft,,
2026-08-03,SFR Plumbing & Heating Ltd,Y,Plumber/Heating,Leeds/Wetherby,sfrplumbingandheating.co.uk,Needs GBP audit,sfrplumbingandheating@gmail.com,Draft (personal Gmail - low priority),,
2026-08-03,Chapman Family Decorators,N,Painter & Decorator,Leeds,chapmandecorators.co.uk,N/A,hello@chapmandecorators.co.uk,Excluded (not Ltd - PECR),,
2026-08-03,Electrician Leeds (electrician-leeds.com),N,Electrician,Leeds,electrician-leeds.com,N/A,info@electrician-leeds.com,Excluded (not Ltd),,
2026-08-03,Bristol Aesthetics,N,Aesthetics Clinic,Bristol,bristolaesthetics.org.uk,N/A,info@bristolaesthetics.org.uk,Excluded (no Ltd found - verify),,
2026-08-03,Nottingham Physiotherapy Services,N,Physiotherapy,Bramcote/Nottingham,nottinghamphysiotherapyservices.co.uk,N/A,info@notts-physio.co.uk,Excluded (no Ltd found),,
2026-08-03,HQ Accountancy,N,Accountant,Liverpool,hqaccountancy.co.uk,N/A,info@hqacc.co.uk,Excluded (Ltd not confirmed - verify),,
