Rank,Business,Owner,Category,Town,Mobile / WhatsApp,WhatsApp status,Website,Source
81,ATF Electrics,Adam,Electrician,Wolverhampton,07592 062666,CONFIRMED (wa.me) - 4.9/60 Google,atfelectrics.co.uk,Verified (site)
82,Stoke Plumber,Steve,Plumber,Stoke-on-Trent,07885 294470,CONFIRMED (wa.me) - 5.0 Google,stokeplumber.com,Verified (site)
83,MF Motors Mobile Mechanic,not named,Mobile Mechanic,Edinburgh/Fife,07467 853072,Advertised WhatsApp - confirm on contact,facebook MobileMechanicScotland,Search-sourced
84,WM Painters & Decorators,not named,Painter/Decorator,Edinburgh,07999 375037,Confirm WhatsApp on contact,wm-painters-decorators.ueniweb.com,Search-sourced
85,Emergency Plumber UK,not named,Plumber,Stoke-on-Trent,07342 119933,Advertised call/text/WhatsApp - confirm,emergency-plumber-uk.co.uk,Search-sourced
86,DW Plumbing And Heating,not named,Plumber/Heating,Stoke-on-Trent,07823 491027,Confirm WhatsApp on contact,dw-plumbing-and-heating.ueniweb.com,Search-sourced
87,Five Towns Flatpack,not named,Handyman,Stoke-on-Trent,07444 824164,Advertised call/text/WhatsApp - confirm,fivetownsflatpack.co.uk,Search-sourced
88,Earth Electrical,not named,Electrician,Wolverhampton,07512 000514,Confirm WhatsApp on contact,earth-electrical.co.uk,Search-sourced
89,DPW Roofing,not named,Roofing,Newport,07850 696162,Mobile - confirm WhatsApp,dpwroofing.co.uk,Verified (site - mobile only)
90,WJ Roofline,William,Roofing,Newport,07402 560900,Confirm WhatsApp on contact,wjrooflinesouthwales.co.uk,Search-sourced
91,JMG Roofing (South Wales),not named,Roofing,Newport,07828 328513,Confirm WhatsApp on contact,jmg-roofing.co.uk,Search-sourced
92,Brighton Mobile Car Valeting,not named,Mobile Valeting,Brighton,07786 929162,Confirm WhatsApp on contact,mobilecarvaletingbrighton.co.uk,Search-sourced
93,Rubywax Mobile Car Valeting,not named,Mobile Valeting,Brighton,07511 548991,Advertised WhatsApp - confirm,facebook waxy247,Search-sourced
94,P&P Mobile Dog Grooming,not named,Mobile Dog Grooming,Brighton,07840 393979,Confirm WhatsApp on contact,ppmobilegrooming.co.uk,Search-sourced
95,The Sussex Valeting Company,Mike Harris,Mobile Valeting,Brighton/Sussex,via site,Advertised WhatsApp - confirm,thesussexvaletingcompany.co.uk,Search-sourced
96,Clean And Bright Window Cleaning,not named,Window Cleaning,Hull,07745 319912,Advertised WhatsApp - confirm,clean-and-bright-window-cleaning.ueniweb.com,Search-sourced
97,Ashley's Newclean,not named,Carpet Cleaning,Hull,07961 981592,Confirm WhatsApp on contact,carpetcleaners-hull.co.uk,Search-sourced
98,Clean Master Carpet Cleaners,not named,Carpet Cleaning,Hull,07776 552706,Confirm WhatsApp on contact,cleanmastercarpetcleaners.co.uk,Search-sourced
99,Complete Cleaning Services,not named,Gutter/Exterior Cleaning,Plymouth,07910 672318,Advertised WhatsApp - confirm,ccsplymouth.co.uk,Search-sourced
100,Ask Nellie,Neil Hughes,Handyman,Stoke-on-Trent,via site,Advertised WhatsApp - confirm,asknellie.co.uk,Search-sourced
101,Gutter Cleaner Devon,not named,Gutter Cleaning,Plymouth,01752 987053,Advertised WhatsApp - confirm,guttercleanerdevon.co.uk,Search-sourced
102,T&A Home Improvements,not named,Handyman/Property,Stoke-on-Trent,via site,Advertised call/text/WhatsApp - confirm,tahomeimprovements.co.uk,Search-sourced
103,Dial A Handyman Stoke,not named,Handyman/Driveways,Stoke-on-Trent,via site,Confirm WhatsApp on contact,dialahandymanstoke.com,Search-sourced
104,Pete Squires Mobile Mechanic,Pete Squires,Mobile Mechanic,Edinburgh,via Facebook,Advertised WhatsApp - confirm,facebook petesquiresmobilemechanic,Search-sourced
105,Your Carpet Cleaner Hull,not named,Carpet Cleaning,Hull,01482 429339,Confirm WhatsApp on contact,yourcarpetcleaner.co.uk,Search-sourced
